max_total_agent_capacity,algorithm,random_seed,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
1500,bidirectional_round_robin,3,80.07153920371077,33.4,49.8,8.351350614473793,1.0,0.3414634146341463,287.0,287.0,287.0,0.1113919999916106
1500,bidirectional_round_robin,4,79.18992585568837,33.4,66.26794258373205,9.294701107253118,1.0,0.3186440677966101,294.0,295.0,295.0,0.111422499991022
1500,bidirectional_round_robin,5,79.53369449767322,33.4,66.26794258373205,8.817677028651127,1.0,0.3242320819112628,293.0,293.0,293.0,0.1168483999790623
1500,bidirectional_round_robin,6,80.26653469342348,33.4,56.45933014354067,9.979833982056258,1.0,0.3344709897610921,293.0,293.0,293.0,0.1137614999897778
1500,bidirectional_round_robin,7,78.57937404746343,33.4,56.45933014354067,10.024634332070812,1.0,0.3288135593220339,295.0,295.0,295.0,0.1153133999905549
1500,bidirectional_round_robin,8,78.52528978770009,33.4,49.8,8.91026669189577,1.0,0.3402777777777778,288.0,288.0,288.0,0.1147683000308461
1500,bidirectional_round_robin,9,78.45192403246402,33.4,56.45933014354067,7.172506157899865,1.0,0.3297872340425531,280.0,282.0,282.0,0.1123403999954462
1500,almost_egalitarian_without_donation,0,82.49491745768962,48.3,64.35406698564593,12.74161219421527,5.0,0.8191126279863481,268.0,288.0,288.0,12.05699850001838
1500,almost_egalitarian_without_donation,1,82.18455611064806,34.92723492723493,92.10526315789474,12.89473740606868,5.0,0.7811447811447811,281.0,292.0,293.0,11.571650499943644
1500,almost_egalitarian_without_donation,2,81.63682261698827,34.92723492723493,92.10526315789474,12.986525579307845,5.0,0.8356164383561644,282.0,288.0,289.0,11.315776199975517
1500,almost_egalitarian_without_donation,3,82.64635907286362,48.3,64.35406698564593,12.30614862162597,5.0,0.662020905923345,267.0,284.0,284.0,11.039443999994546
1500,almost_egalitarian_without_donation,4,81.80607267967183,34.92723492723493,92.10526315789474,14.087144562186392,5.0,0.7322033898305085,284.0,290.0,292.0,11.440519900002982
1500,almost_egalitarian_without_donation,5,81.70174339078973,48.3,92.10526315789474,13.323512499612052,5.0,0.6689419795221843,277.0,289.0,289.0,11.39202650001971
1500,almost_egalitarian_without_donation,6,83.57977633204966,48.3,64.35406698564593,11.107985150025128,5.0,0.7986348122866894,286.0,290.0,290.0,11.31893880001735
1500,almost_egalitarian_without_donation,7,81.70154930102251,48.3,61.24401913875598,11.103402409864849,5.0,0.6610169491525424,282.0,291.0,291.0,11.30831809999654
1500,almost_egalitarian_without_donation,8,82.64387027922788,48.3,65.78947368421052,10.265351405835894,5.0,0.7152777777777778,275.0,287.0,287.0,11.157670099986715
1500,almost_egalitarian_without_donation,9,81.18124403995724,48.3,92.10526315789474,10.106768499750512,5.0,0.8687943262411347,270.0,279.0,280.0,11.288697200012392
1500,almost_egalitarian_with_donation,0,82.69849570001479,48.3,81.33971291866028,13.26304744312562,5.0,0.8156996587030717,267.0,288.0,288.0,11.839417800016236
1500,almost_egalitarian_with_donation,1,82.36393040783129,48.3,92.10526315789474,11.36050619103703,5.0,0.7710437710437711,281.0,292.0,292.0,11.464873699995223
1500,almost_egalitarian_with_donation,2,82.45922022749059,50.0,64.35406698564593,11.856715242336175,5.0,0.8595890410958904,282.0,289.0,289.0,11.178441099997144
1500,almost_egalitarian_with_donation,3,82.72415285031657,48.3,64.35406698564593,9.950832471827,5.0,0.6306620209059234,269.0,286.0,286.0,11.098764199996369
