num_of_agents,num_of_items,value_noise_ratio,algorithm,random_seed,utilitarian_value,egalitarian_value,runtime
3,6,0,high_multiplicity_fair_allocation,2,86.70537769407827,84.7457627118644,0.49832879999999946
3,6,0.5,high_multiplicity_fair_allocation,0,0.0,0,0.03606389999999848
3,6,0.5,high_multiplicity_fair_allocation,1,0.0,0,0.04234279999999657
3,6,0.5,high_multiplicity_fair_allocation,2,91.56565656565657,88.33333333333333,0.13458809999999843
3,6,1.5,high_multiplicity_fair_allocation,0,0.0,0,0.04721420000000265
3,6,1.5,high_multiplicity_fair_allocation,1,0.0,0,0.033667699999998746
3,6,1.5,high_multiplicity_fair_allocation,2,103.65900383141764,79.3103448275862,11.801406800000002
4,2,0,high_multiplicity_fair_allocation,0,0.0,0,0.04260790000000014
4,2,0,high_multiplicity_fair_allocation,1,0.0,0,0.0272389000000004
4,2,0,high_multiplicity_fair_allocation,2,0.0,0,0.034042700000000536
4,2,0.5,high_multiplicity_fair_allocation,0,0.0,0,0.04687669999999855
4,2,0.5,high_multiplicity_fair_allocation,1,0.0,0,0.05789469999999852
4,2,0.5,high_multiplicity_fair_allocation,2,0.0,0,0.036661000000002275
4,2,1.5,high_multiplicity_fair_allocation,0,0.0,0,0.02350330000000156
4,2,1.5,high_multiplicity_fair_allocation,1,0.0,0,0.02272479999999888
4,2,1.5,high_multiplicity_fair_allocation,2,0.0,0,0.13961769999999518
4,3,0,high_multiplicity_fair_allocation,0,0.0,0,0.02780789999999911
4,3,0,high_multiplicity_fair_allocation,1,0.0,0,0.030411800000003097
4,3,0,high_multiplicity_fair_allocation,2,89.16666666666666,88.33333333333333,0.059964000000000794
4,3,0.5,high_multiplicity_fair_allocation,0,90.99290780141844,83.33333333333334,0.085784799999999
4,3,0.5,high_multiplicity_fair_allocation,1,0.0,0,0.06395889999999582
4,3,0.5,high_multiplicity_fair_allocation,2,90.78389830508475,88.13559322033898,0.07597810000000038
4,3,1.5,high_multiplicity_fair_allocation,0,99.09420289855073,86.66666666666667,0.06664860000000061
4,3,1.5,high_multiplicity_fair_allocation,1,0.0,0,0.054314099999999144
4,3,1.5,high_multiplicity_fair_allocation,2,0.0,0,0.030889999999999418
